# v0.9.0-685-g096059af
task_in,task_out,implicit_in,implicit_out,mpi_in,mpi_out,cluster_in,cluster_out,number_link,number_rank,task_in_is_top,task_in_is_hydro_super,task_in_is_grav_super,task_out_is_top,task_out_is_hydro_super,task_out_is_grav_super
sort,sub_self_density,0,0,0,0,None,Density,156,8,0,1,0,0,0,0
sort,sub_pair_density,0,0,0,0,None,Density,2564,8,0,1,0,0,0,0
sort,pair_density,0,0,0,0,None,Density,1438,8,0,1,0,0,0,0
sort,recv_rho,0,0,0,1,None,None,130,8,0,1,0,0,0,0
self_density,ghost_in,0,1,0,0,Density,None,10,8,0,0,0,0,1,0
self_force,end_hydro_force,0,0,0,0,Force,None,10,8,0,0,0,0,1,0
self_grav,grav_down_in,0,1,0,0,Gravity,None,44,8,0,0,0,0,0,0
pair_density,ghost_in,0,1,0,0,Density,None,924,8,0,0,0,0,1,0
pair_density,recv_rho,0,0,0,1,Density,None,514,8,0,0,0,0,1,0
pair_force,end_hydro_force,0,0,0,0,Force,None,924,8,0,0,0,0,1,0
pair_force,recv_tend_part,0,0,0,1,Force,None,514,8,0,0,0,0,1,0
pair_grav,grav_down_in,0,1,0,0,Gravity,None,594,8,0,0,0,0,0,0
pair_grav,recv_tend_gpart,0,0,0,1,Gravity,None,474,8,0,0,0,0,0,0
sub_self_density,ghost_in,0,1,0,0,Density,None,156,8,0,0,0,0,1,0
sub_self_force,end_hydro_force,0,0,0,0,Force,None,156,8,0,0,0,0,1,0
sub_pair_density,ghost_in,0,1,0,0,Density,None,1784,8,0,0,0,0,1,0
sub_pair_density,recv_rho,0,0,0,1,Density,None,780,8,0,0,0,0,1,0
sub_pair_force,end_hydro_force,0,0,0,0,Force,None,1784,8,0,0,0,0,1,0
sub_pair_force,recv_tend_part,0,0,0,1,Force,None,780,8,0,0,0,0,1,0
init_grav,grav_long_range,0,0,0,0,None,Gravity,8,8,0,0,1,0,0,1
init_grav,init_grav_out,0,1,0,0,None,None,8,8,0,0,1,0,0,1
init_grav_out,init_grav_out,1,1,0,0,None,None,28,8,0,0,0,0,0,0
init_grav_out,self_grav,1,0,0,0,None,Gravity,44,8,0,0,0,0,0,0
init_grav_out,grav_mm,1,0,0,0,None,Gravity,94,8,0,0,0,0,0,0
init_grav_out,pair_grav,1,0,0,0,None,Gravity,594,8,0,0,0,0,0,0
ghost_in,ghost,1,0,0,0,None,None,5131,8,0,1,0,0,0,0
ghost,ghost_out,0,1,0,0,None,None,5131,8,0,0,0,0,1,0
ghost_out,sub_self_force,1,0,0,0,None,Force,156,8,0,1,0,0,0,0
ghost_out,sub_pair_force,1,0,0,0,None,Force,1784,8,0,1,0,0,0,0
ghost_out,pair_force,1,0,0,0,None,Force,924,8,0,1,0,0,0,0
ghost_out,send_rho,1,0,0,1,None,None,130,8,0,1,0,0,0,0
ghost_out,self_force,1,0,0,0,None,Force,10,8,0,1,0,0,0,0
drift_part,sub_self_density,0,0,0,0,None,Density,156,8,0,1,0,0,0,0
drift_part,sub_pair_density,0,0,0,0,None,Density,1784,8,0,1,0,0,0,0
drift_part,pair_density,0,0,0,0,None,Density,924,8,0,1,0,0,0,0
drift_part,sort,0,0,0,0,None,None,28,8,0,1,0,0,1,0
drift_part,send_rho,0,0,0,1,None,None,130,8,0,1,0,0,0,0
drift_part,send_xv,0,0,0,1,None,None,130,8,0,1,0,0,0,0
drift_part,self_density,0,0,0,0,None,Density,10,8,0,1,0,0,0,0
drift_gpart,drift_gpart_out,0,1,0,0,None,None,8,8,0,0,1,0,0,1
drift_gpart,send_gpart,0,0,0,1,None,None,100,8,0,0,1,0,0,0
drift_gpart_out,drift_gpart_out,1,1,0,0,None,None,28,8,0,0,0,0,0,0
drift_gpart_out,self_grav,1,0,0,0,None,Gravity,44,8,0,0,0,0,0,0
drift_gpart_out,pair_grav,1,0,0,0,None,Gravity,594,8,0,0,0,0,0,0
end_hydro_force,kick2,0,0,0,0,None,None,28,8,0,1,0,0,0,1
kick2,timestep,0,0,0,0,None,None,8,8,0,0,1,0,0,1
timestep,kick1,0,0,0,0,None,None,8,8,0,0,1,0,0,1
timestep,send_tend_part,0,0,0,1,None,None,130,8,0,0,1,0,0,0
timestep,send_tend_gpart,0,0,0,1,None,None,100,8,0,0,1,0,0,0
send_xv,ghost_in,0,1,1,0,None,None,130,8,0,0,0,0,1,0
send_rho,end_hydro_force,0,0,1,0,None,None,130,8,0,0,0,0,1,0
send_gpart,grav_down,0,0,1,0,None,None,100,8,0,0,0,0,0,1
recv_xv,sort,0,0,1,0,None,None,130,8,0,1,0,0,1,0
recv_xv,sub_pair_density,0,0,1,0,None,Density,780,8,0,1,0,0,0,0
recv_xv,pair_density,0,0,1,0,None,Density,514,8,0,1,0,0,0,0
recv_rho,sub_pair_force,0,0,1,0,None,Force,780,8,0,1,0,0,0,0
recv_rho,pair_force,0,0,1,0,None,Force,514,8,0,1,0,0,0,0
recv_gpart,pair_grav,0,0,1,0,None,Gravity,474,8,0,0,0,0,0,0
grav_long_range,grav_down,0,0,0,0,Gravity,None,8,8,0,0,1,0,0,1
grav_mm,grav_down_in,0,1,0,0,Gravity,None,94,8,0,0,0,0,0,1
grav_down_in,grav_down,1,0,0,0,None,None,8,8,0,0,0,0,0,1
grav_down_in,grav_down_in,1,1,0,0,None,None,28,8,0,0,0,0,0,0
grav_down,grav_end_force,0,0,0,0,None,None,8,8,0,0,1,0,0,1
grav_end_force,kick2,0,0,0,0,None,None,8,8,0,0,1,0,0,1
