# step rank user sys sum deadfrac
3 0 391.000000 73.000000 464.000000 0.595143
3 1 200.000000 85.000000 285.000000 0.757190
3 2 250.000000 77.000000 327.000000 0.727937
3 3 512.000000 66.000000 578.000000 0.551540
3 4 451.000000 82.000000 533.000000 0.585958
3 5 208.000000 78.000000 286.000000 0.746381
3 6 237.000000 82.000000 319.000000 0.727141
3 7 520.000000 73.000000 593.000000 0.530562
# 3 mean times: 346.125000 77.000000 423.125000
# 3 balance: 0.924521, expected: 0.100000 (sys: 0.246753, total: 0.727917)
5 0 454.000000 74.000000 528.000000 0.598761
5 1 206.000000 77.000000 283.000000 0.767629
5 2 232.000000 80.000000 312.000000 0.743562
5 3 447.000000 70.000000 517.000000 0.559225
5 4 463.000000 78.000000 541.000000 0.574949
5 5 209.000000 75.000000 284.000000 0.763010
5 6 240.000000 83.000000 323.000000 0.737431
5 7 480.000000 64.000000 544.000000 0.531553
# 5 mean times: 341.375000 75.125000 416.500000
# 5 balance: 0.802636, expected: 0.100000 (sys: 0.252912, total: 0.626651)
7 0 428.000000 76.000000 504.000000 0.590055
7 1 191.000000 83.000000 274.000000 0.749556
7 2 237.000000 69.000000 306.000000 0.725067
7 3 518.000000 68.000000 586.000000 0.540189
7 4 459.000000 73.000000 532.000000 0.562924
7 5 200.000000 78.000000 278.000000 0.747952
7 6 251.000000 71.000000 322.000000 0.718940
7 7 444.000000 63.000000 507.000000 0.536794
# 7 mean times: 341.000000 72.625000 413.625000
# 7 balance: 0.958944, expected: 0.100000 (sys: 0.275387, total: 0.754306)
9 0 446.000000 84.000000 530.000000 0.627522
9 1 210.000000 84.000000 294.000000 0.779981
9 2 255.000000 80.000000 335.000000 0.752580
9 3 524.000000 66.000000 590.000000 0.572439
9 4 482.000000 78.000000 560.000000 0.595309
9 5 221.000000 83.000000 304.000000 0.773543
9 6 243.000000 82.000000 325.000000 0.747526
9 7 457.000000 69.000000 526.000000 0.575915
# 9 mean times: 354.750000 78.250000 433.000000
# 9 balance: 0.885130, expected: 0.100000 (sys: 0.230032, total: 0.683603)
11 0 453.000000 74.000000 527.000000 0.605721
11 1 203.000000 83.000000 286.000000 0.771841
11 2 238.000000 78.000000 316.000000 0.744747
11 3 463.000000 69.000000 532.000000 0.552497
11 4 421.000000 80.000000 501.000000 0.571310
11 5 211.000000 78.000000 289.000000 0.765239
11 6 245.000000 75.000000 320.000000 0.738866
11 7 457.000000 65.000000 522.000000 0.556820
# 11 mean times: 336.375000 75.250000 411.625000
# 11 balance: 0.772947, expected: 0.100000 (sys: 0.239203, total: 0.597631)
13 0 407.000000 74.000000 481.000000 0.612742
13 1 203.000000 85.000000 288.000000 0.769634
13 2 244.000000 80.000000 324.000000 0.747936
13 3 518.000000 73.000000 591.000000 0.575755
13 4 481.000000 74.000000 555.000000 0.581607
13 5 211.000000 86.000000 297.000000 0.764501
13 6 258.000000 75.000000 333.000000 0.739282
13 7 526.000000 65.000000 591.000000 0.563064
# 13 mean times: 356.000000 76.500000 432.500000
# 13 balance: 0.907303, expected: 0.100000 (sys: 0.274510, total: 0.700578)
15 0 451.000000 76.000000 527.000000 0.602203
15 1 193.000000 83.000000 276.000000 0.763445
15 2 244.000000 75.000000 319.000000 0.744263
15 3 523.000000 68.000000 591.000000 0.545353
15 4 419.000000 74.000000 493.000000 0.576529
15 5 204.000000 82.000000 286.000000 0.760343
15 6 246.000000 76.000000 322.000000 0.738785
15 7 519.000000 68.000000 587.000000 0.554577
# 15 mean times: 349.875000 75.250000 425.125000
# 15 balance: 0.943194, expected: 0.100000 (sys: 0.199336, total: 0.740959)
17 0 454.000000 76.000000 530.000000 0.621181
17 1 202.000000 84.000000 286.000000 0.775794
17 2 254.000000 82.000000 336.000000 0.747829
17 3 531.000000 68.000000 599.000000 0.552761
17 4 483.000000 72.000000 555.000000 0.585964
17 5 211.000000 84.000000 295.000000 0.773512
17 6 248.000000 84.000000 332.000000 0.749430
17 7 504.000000 67.000000 571.000000 0.577752
# 17 mean times: 360.875000 77.125000 438.000000
# 17 balance: 0.911673, expected: 0.100000 (sys: 0.220421, total: 0.714612)
19 0 445.000000 75.000000 520.000000 0.598999
19 1 211.000000 78.000000 289.000000 0.755608
19 2 240.000000 83.000000 323.000000 0.730669
19 3 498.000000 69.000000 567.000000 0.562140
19 4 472.000000 73.000000 545.000000 0.563971
19 5 211.000000 74.000000 285.000000 0.750654
19 6 241.000000 77.000000 318.000000 0.728745
19 7 517.000000 69.000000 586.000000 0.546456
# 19 mean times: 354.375000 74.750000 429.125000
# 19 balance: 0.863492, expected: 0.100000 (sys: 0.187291, total: 0.701427)
21 0 447.000000 71.000000 518.000000 0.615676
21 1 211.000000 84.000000 295.000000 0.769136
21 2 246.000000 76.000000 322.000000 0.747505
21 3 513.000000 66.000000 579.000000 0.564550
21 4 476.000000 77.000000 553.000000 0.581633
21 5 224.000000 77.000000 301.000000 0.752398
21 6 244.000000 77.000000 321.000000 0.739816
21 7 524.000000 62.000000 586.000000 0.558990
# 21 mean times: 360.625000 73.750000 434.375000
# 21 balance: 0.867938, expected: 0.100000 (sys: 0.298305, total: 0.669928)
23 0 457.000000 73.000000 530.000000 0.610986
23 1 201.000000 83.000000 284.000000 0.767333
23 2 239.000000 77.000000 316.000000 0.747260
23 3 548.000000 67.000000 615.000000 0.545309
23 4 469.000000 73.000000 542.000000 0.582771
23 5 203.000000 84.000000 287.000000 0.763862
23 6 254.000000 75.000000 329.000000 0.737931
23 7 525.000000 67.000000 592.000000 0.563789
# 23 mean times: 362.000000 74.875000 436.875000
# 23 balance: 0.958564, expected: 0.100000 (sys: 0.227045, total: 0.757654)
25 0 455.000000 73.000000 528.000000 0.594830
25 1 201.000000 84.000000 285.000000 0.756586
25 2 244.000000 85.000000 329.000000 0.731763
25 3 513.000000 72.000000 585.000000 0.558244
25 4 483.000000 80.000000 563.000000 0.565268
25 5 207.000000 84.000000 291.000000 0.755881
25 6 250.000000 78.000000 328.000000 0.729211
25 7 528.000000 63.000000 591.000000 0.544850
# 25 mean times: 360.125000 77.375000 437.500000
# 25 balance: 0.908018, expected: 0.100000 (sys: 0.284330, total: 0.699429)
27 0 440.000000 78.000000 518.000000 0.600787
27 1 194.000000 84.000000 278.000000 0.757562
27 2 242.000000 80.000000 322.000000 0.735328
27 3 516.000000 67.000000 583.000000 0.548140
27 4 479.000000 77.000000 556.000000 0.561857
27 5 201.000000 79.000000 280.000000 0.755769
27 6 244.000000 78.000000 322.000000 0.731208
27 7 523.000000 65.000000 588.000000 0.542926
# 27 mean times: 354.875000 76.000000 430.875000
# 27 balance: 0.927087, expected: 0.100000 (sys: 0.250000, total: 0.719466)
29 0 459.000000 88.000000 547.000000 0.605569
29 1 185.000000 95.000000 280.000000 0.768096
29 2 246.000000 81.000000 327.000000 0.744968
29 3 540.000000 71.000000 611.000000 0.559294
29 4 471.000000 83.000000 554.000000 0.584285
29 5 212.000000 83.000000 295.000000 0.763688
29 6 259.000000 76.000000 335.000000 0.742513
29 7 505.000000 74.000000 579.000000 0.569870
# 29 mean times: 359.625000 81.375000 441.000000
# 29 balance: 0.987139, expected: 0.100000 (sys: 0.294931, total: 0.750567)
31 0 451.000000 82.000000 533.000000 0.612206
31 1 203.000000 89.000000 292.000000 0.766811
31 2 253.000000 81.000000 334.000000 0.747573
31 3 534.000000 71.000000 605.000000 0.571284
31 4 480.000000 79.000000 559.000000 0.585055
31 5 206.000000 88.000000 294.000000 0.766675
31 6 246.000000 81.000000 327.000000 0.744422
31 7 546.000000 67.000000 613.000000 0.551687
# 31 mean times: 364.875000 79.750000 444.625000
# 31 balance: 0.940048, expected: 0.100000 (sys: 0.275862, total: 0.721957)
33 0 456.000000 74.000000 530.000000 0.608353
33 1 211.000000 82.000000 293.000000 0.765614
33 2 249.000000 74.000000 323.000000 0.730158
33 3 516.000000 71.000000 587.000000 0.562897
33 4 451.000000 77.000000 528.000000 0.557544
33 5 222.000000 80.000000 302.000000 0.758772
33 6 238.000000 90.000000 328.000000 0.736334
33 7 497.000000 69.000000 566.000000 0.578618
# 33 mean times: 355.000000 77.125000 432.125000
# 33 balance: 0.859155, expected: 0.100000 (sys: 0.272285, total: 0.680359)
35 0 461.000000 82.000000 543.000000 0.610249
35 1 201.000000 86.000000 287.000000 0.769273
35 2 228.000000 90.000000 318.000000 0.739649
35 3 472.000000 68.000000 540.000000 0.558070
35 4 474.000000 87.000000 561.000000 0.579257
35 5 209.000000 86.000000 295.000000 0.763709
35 6 247.000000 82.000000 329.000000 0.739250
35 7 485.000000 69.000000 554.000000 0.553904
# 35 mean times: 347.125000 81.250000 428.375000
# 35 balance: 0.818149, expected: 0.100000 (sys: 0.270769, total: 0.639626)
37 0 469.000000 82.000000 551.000000 0.607493
37 1 201.000000 85.000000 286.000000 0.770265
37 2 252.000000 76.000000 328.000000 0.745242
37 3 523.000000 61.000000 584.000000 0.565955
37 4 486.000000 76.000000 562.000000 0.571574
37 5 215.000000 78.000000 293.000000 0.765600
37 6 255.000000 81.000000 336.000000 0.741728
37 7 493.000000 70.000000 563.000000 0.576615
# 37 mean times: 361.750000 76.125000 437.875000
# 37 balance: 0.890117, expected: 0.100000 (sys: 0.315271, total: 0.680560)
39 0 462.000000 82.000000 544.000000 0.603732
39 1 203.000000 84.000000 287.000000 0.764766
39 2 250.000000 75.000000 325.000000 0.739420
39 3 533.000000 66.000000 599.000000 0.557459
39 4 459.000000 80.000000 539.000000 0.580503
39 5 214.000000 87.000000 301.000000 0.758741
39 6 253.000000 82.000000 335.000000 0.735496
39 7 461.000000 66.000000 527.000000 0.562578
# 39 mean times: 354.375000 77.750000 432.125000
# 39 balance: 0.931217, expected: 0.100000 (sys: 0.270096, total: 0.722013)
41 0 411.000000 82.000000 493.000000 0.616617
41 1 207.000000 81.000000 288.000000 0.779090
41 2 254.000000 77.000000 331.000000 0.748678
41 3 541.000000 64.000000 605.000000 0.572137
41 4 500.000000 77.000000 577.000000 0.581126
41 5 209.000000 80.000000 289.000000 0.777966
41 6 255.000000 80.000000 335.000000 0.746099
41 7 471.000000 64.000000 535.000000 0.571497
# 41 mean times: 356.000000 75.625000 431.625000
# 41 balance: 0.938202, expected: 0.100000 (sys: 0.238017, total: 0.734434)
43 0 459.000000 77.000000 536.000000 0.616136
43 1 211.000000 83.000000 294.000000 0.775985
43 2 256.000000 79.000000 335.000000 0.747403
43 3 477.000000 68.000000 545.000000 0.562290
43 4 489.000000 75.000000 564.000000 0.586753
43 5 223.000000 80.000000 303.000000 0.767179
43 6 249.000000 88.000000 337.000000 0.746921
43 7 461.000000 67.000000 528.000000 0.584229
# 43 mean times: 353.125000 77.125000 430.250000
# 43 balance: 0.787257, expected: 0.100000 (sys: 0.272285, total: 0.627542)
45 0 450.000000 82.000000 532.000000 0.609131
45 1 205.000000 85.000000 290.000000 0.766936
45 2 258.000000 75.000000 333.000000 0.737605
45 3 540.000000 68.000000 608.000000 0.557143
45 4 480.000000 81.000000 561.000000 0.589337
45 5 213.000000 85.000000 298.000000 0.764135
45 6 258.000000 80.000000 338.000000 0.736553
45 7 540.000000 66.000000 606.000000 0.553446
# 45 mean times: 368.000000 77.750000 445.750000
# 45 balance: 0.910326, expected: 0.100000 (sys: 0.244373, total: 0.713404)
47 0 462.000000 82.000000 544.000000 0.628669
47 1 202.000000 91.000000 293.000000 0.779949
47 2 264.000000 82.000000 346.000000 0.756472
47 3 546.000000 76.000000 622.000000 0.574248
47 4 490.000000 78.000000 568.000000 0.597276
47 5 210.000000 90.000000 300.000000 0.774130
47 6 251.000000 92.000000 343.000000 0.750482
47 7 465.000000 75.000000 540.000000 0.586695
# 47 mean times: 361.250000 83.250000 444.500000
# 47 balance: 0.952249, expected: 0.100000 (sys: 0.204204, total: 0.740157)
49 0 459.000000 87.000000 546.000000 0.629580
49 1 215.000000 90.000000 305.000000 0.776649
49 2 266.000000 88.000000 354.000000 0.750647
49 3 545.000000 69.000000 614.000000 0.578513
49 4 516.000000 79.000000 595.000000 0.585730
49 5 229.000000 83.000000 312.000000 0.770008
49 6 265.000000 83.000000 348.000000 0.752600
49 7 536.000000 72.000000 608.000000 0.585470
# 49 mean times: 378.875000 81.375000 460.250000
# 49 balance: 0.871000, expected: 0.100000 (sys: 0.258065, total: 0.671374)
51 0 477.000000 80.000000 557.000000 0.644512
51 1 219.000000 94.000000 313.000000 0.788396
