# step rank resident
3 0 811224
3 1 713548
3 2 765876
3 3 876580
3 4 848964
3 5 701632
3 6 761052
3 7 869120
# 3 mean resident memory: 793499.500000, balance: 0.220477
5 0 824256
5 1 726064
5 2 779920
5 3 896340
5 4 882492
5 5 703920
5 6 760200
5 7 890128
# 5 mean resident memory: 807915.000000, balance: 0.238169
7 0 829176
7 1 731488
7 2 788564
7 3 911096
7 4 887632
7 5 712104
7 6 768396
7 7 934648
# 7 mean resident memory: 820388.000000, balance: 0.271267
9 0 844924
9 1 734160
9 2 795496
9 3 925500
9 4 889072
9 5 714624
9 6 776768
9 7 947140
# 9 mean resident memory: 828460.500000, balance: 0.280660
11 0 851760
11 1 744912
11 2 801936
11 3 943588
11 4 908248
11 5 719324
11 6 782112
11 7 966780
# 11 mean resident memory: 839832.500000, balance: 0.294649
13 0 872192
13 1 745852
13 2 807968
13 3 960872
13 4 916228
13 5 724636
13 6 794252
13 7 992496
# 13 mean resident memory: 851812.000000, balance: 0.314459
15 0 883300
15 1 749788
15 2 812520
15 3 967576
15 4 942432
15 5 723180
15 6 803436
15 7 998644
# 15 mean resident memory: 860109.500000, balance: 0.320266
17 0 887708
17 1 750796
17 2 821176
17 3 975576
17 4 943544
17 5 729036
17 6 809932
17 7 1001700
# 17 mean resident memory: 864933.500000, balance: 0.315243
19 0 889052
19 1 755828
19 2 822380
19 3 969440
19 4 956628
19 5 732496
19 6 815472
19 7 1003508
# 19 mean resident memory: 868100.500000, balance: 0.312190
21 0 888012
21 1 755916
21 2 827364
21 3 971484
21 4 942952
21 5 731168
21 6 815884
21 7 1004800
# 21 mean resident memory: 867197.500000, balance: 0.315536
23 0 917736
23 1 756928
23 2 827340
23 3 979348
23 4 966644
23 5 752912
23 6 837704
23 7 1007176
# 23 mean resident memory: 880723.500000, balance: 0.288699
25 0 923080
25 1 758988
25 2 828724
25 3 982312
25 4 984424
25 5 733392
25 6 844408
25 7 1007316
# 25 mean resident memory: 882830.500000, balance: 0.310279
27 0 952828
27 1 795212
27 2 800512
27 3 980436
27 4 1004000
27 5 739984
27 6 850552
27 7 1008880
# 27 mean resident memory: 891550.500000, balance: 0.301605
29 0 969200
29 1 798880
29 2 807340
29 3 979220
29 4 1010132
29 5 763272
29 6 820432
29 7 1007648
# 29 mean resident memory: 894515.500000, balance: 0.275971
31 0 970488
31 1 799376
31 2 806692
31 3 979900
31 4 998368
31 5 745096
31 6 823104
31 7 1008972
# 31 mean resident memory: 891499.500000, balance: 0.295991
33 0 974084
33 1 797580
33 2 805512
33 3 979588
33 4 1001804
33 5 746296
33 6 824584
33 7 1015384
# 33 mean resident memory: 893104.000000, balance: 0.301295
35 0 998968
35 1 797380
35 2 806300
35 3 978604
35 4 1017008
35 5 765020
35 6 823612
35 7 1015632
# 35 mean resident memory: 900315.500000, balance: 0.279889
37 0 1008880
37 1 798740
37 2 811240
37 3 977788
37 4 1035136
37 5 765132
37 6 825456
37 7 1012732
# 37 mean resident memory: 904388.000000, balance: 0.298549
39 0 1002012
39 1 801704
39 2 815096
39 3 982900
39 4 1037252
39 5 768184
39 6 828760
39 7 1013524
# 39 mean resident memory: 906179.000000, balance: 0.296926
41 0 1000736
41 1 801808
41 2 815412
41 3 989440
41 4 1036660
41 5 768696
41 6 838160
41 7 1013420
# 41 mean resident memory: 908041.500000, balance: 0.295101
43 0 1002588
43 1 802624
43 2 818952
43 3 985736
43 4 1025880
43 5 765520
43 6 842804
43 7 1016868
# 43 mean resident memory: 907621.500000, balance: 0.286860
45 0 1019620
45 1 805804
45 2 821036
45 3 989252
45 4 1026216
45 5 768864
45 6 838568
45 7 1017992
# 45 mean resident memory: 910919.000000, balance: 0.282519
47 0 1020096
47 1 814784
47 2 828528
47 3 996048
47 4 1048604
47 5 774752
47 6 837504
47 7 1018376
# 47 mean resident memory: 917336.500000, balance: 0.298529
49 0 1006676
49 1 818128
49 2 838900
49 3 996000
49 4 1038900
49 5 773140
49 6 839372
49 7 1015372
# 49 mean resident memory: 915811.000000, balance: 0.290191
51 0 1016964
51 1 823040
51 2 840576
51 3 996352
51 4 1039600
51 5 777028
51 6 845596
51 7 1015896
# 51 mean resident memory: 919381.500000, balance: 0.285596
53 0 1033608
53 1 829004
53 2 840788
53 3 996836
53 4 1069212
53 5 777272
53 6 876468
53 7 1016816
# 53 mean resident memory: 930000.500000, balance: 0.313914
55 0 1024040
55 1 825868
55 2 847064
55 3 1001012
55 4 1057064
55 5 784176
55 6 846312
55 7 1021612
# 55 mean resident memory: 925893.500000, balance: 0.294729
57 0 1029924
57 1 828388
57 2 851456
57 3 1001476
57 4 1058252
57 5 786560
57 6 885944
57 7 1021716
# 57 mean resident memory: 932964.500000, balance: 0.291214
59 0 1037576
59 1 834252
59 2 863168
59 3 1002288
59 4 1057716
59 5 788252
59 6 858832
59 7 1024000
# 59 mean resident memory: 933260.500000, balance: 0.288734
61 0 1053596
61 1 838904
61 2 871432
61 3 1002656
61 4 1074860
61 5 793492
61 6 895420
61 7 1030948
# 61 mean resident memory: 945163.500000, balance: 0.297692
63 0 1056076
63 1 839020
63 2 869928
63 3 1002504
63 4 1068188
63 5 797476
63 6 869912
63 7 1030780
# 63 mean resident memory: 941735.500000, balance: 0.287461
65 0 1055584
65 1 842216
65 2 873880
65 3 1005208
65 4 1069492
65 5 797288
65 6 884100
65 7 1026700
# 65 mean resident memory: 944308.500000, balance: 0.288257
67 0 1058356
67 1 839244
67 2 873764
67 3 1006280
67 4 1075672
67 5 798564
67 6 886220
67 7 1030168
# 67 mean resident memory: 946033.500000, balance: 0.292916
69 0 1061120
69 1 838928
69 2 877376
69 3 1004036
69 4 1081564
69 5 797756
69 6 883736
69 7 1029992
# 69 mean resident memory: 946813.500000, balance: 0.299751
71 0 1062676
71 1 840316
71 2 876484
71 3 1004620
71 4 1089360
71 5 802328
71 6 881344
71 7 1030232
# 71 mean resident memory: 948420.000000, balance: 0.302642
73 0 1062916
73 1 840504
73 2 880716
73 3 1006852
73 4 1111964
73 5 804828
73 6 883212
73 7 1028764
# 73 mean resident memory: 952469.500000, balance: 0.322463
75 0 1063120
75 1 842328
75 2 876664
75 3 1007104
75 4 1113404
75 5 803492
75 6 883124
75 7 1033140
# 75 mean resident memory: 952797.000000, balance: 0.325266
77 0 1064180
77 1 840708
77 2 879396
77 3 1006556
77 4 1099248
77 5 804856
77 6 880480
77 7 1033400
# 77 mean resident memory: 951103.000000, balance: 0.309527
79 0 1048376
79 1 844788
79 2 880240
79 3 1007632
79 4 1108236
79 5 805492
79 6 879668
79 7 1032976
# 79 mean resident memory: 950926.000000, balance: 0.318368
81 0 1048060
81 1 844904
81 2 889556
81 3 1006440
81 4 1113148
81 5 808720
81 6 883160
81 7 1033100
# 81 mean resident memory: 953386.000000, balance: 0.319312
83 0 1064364
83 1 842316
83 2 886048
83 3 1008252
83 4 1116520
83 5 808804
83 6 879128
83 7 1033084
# 83 mean resident memory: 954814.500000, balance: 0.322278
85 0 1049384
85 1 841932
85 2 890828
85 3 1009436
85 4 1132224
85 5 812892
85 6 879460
85 7 1034564
# 85 mean resident memory: 956340.000000, balance: 0.333911
87 0 1068772
87 1 844044
87 2 887488
87 3 1011220
87 4 1133940
87 5 814480
87 6 879688
87 7 1034988
# 87 mean resident memory: 959327.500000, balance: 0.333004
89 0 1059240
89 1 844500
89 2 891164
89 3 1011472
89 4 1120440
89 5 813412
89 6 887368
89 7 1035116
# 89 mean resident memory: 957839.000000, balance: 0.320542
91 0 1062856
91 1 846464
91 2 893100
91 3 1010216
91 4 1120208
91 5 812348
91 6 886156
91 7 1037820
# 91 mean resident memory: 958646.000000, balance: 0.321140
93 0 1067392
93 1 845356
93 2 897044
93 3 1010872
93 4 1140072
93 5 819540
93 6 890244
93 7 1037332
# 93 mean resident memory: 963481.500000, balance: 0.332681
95 0 1071440
95 1 841888
95 2 894848
95 3 1011440
95 4 1129700
95 5 816804
95 6 893072
95 7 1037588
# 95 mean resident memory: 962097.500000, balance: 0.325223
97 0 1069452
97 1 841964
97 2 899908
97 3 1011368
97 4 1136964
97 5 815416
97 6 898616
97 7 1037176
# 97 mean resident memory: 963858.000000, balance: 0.333605
99 0 1085032
99 1 841828
99 2 900380
99 3 1010464
99 4 1150772
99 5 815260
99 6 893104
99 7 1038132
# 99 mean resident memory: 966871.500000, balance: 0.347008
101 0 1073268
101 1 842856
101 2 903352
101 3 1009060
101 4 1144812
101 5 818988
101 6 897284
101 7 1041592
# 101 mean resident memory: 966401.500000, balance: 0.337152
103 0 1099496
103 1 846720
103 2 900864
103 3 1015992
103 4 1152948
103 5 817476
103 6 896972
103 7 1044040
# 103 mean resident memory: 971813.500000, balance: 0.345202
105 0 1100688
105 1 846712
105 2 906516
105 3 1015972
105 4 1151784
105 5 817712
105 6 898520
105 7 1045252
# 105 mean resident memory: 972894.500000, balance: 0.343379
107 0 1091884
107 1 846720
107 2 906164
107 3 1016432
107 4 1164904
107 5 823080
107 6 895360
107 7 1045044
# 107 mean resident memory: 973698.500000, balance: 0.351057
109 0 1073856
109 1 847576
109 2 909432
109 3 1018956
109 4 1150304
109 5 820968
109 6 899392
109 7 1042696
# 109 mean resident memory: 970397.500000, balance: 0.339383
111 0 1092020
111 1 842932
111 2 906956
111 3 1021988
111 4 1153504
111 5 817756
111 6 899864
111 7 1046888
# 111 mean resident memory: 972738.500000, balance: 0.345158
113 0 1093824
113 1 841008
113 2 909500
113 3 1024332
113 4 1153144
113 5 814976
113 6 903448
113 7 1047040
# 113 mean resident memory: 973409.000000, balance: 0.347406
115 0 1079976
115 1 841632
115 2 909416
115 3 1024364
115 4 1151256
115 5 814816
115 6 903456
115 7 1048720
# 115 mean resident memory: 971704.500000, balance: 0.346237
117 0 1084656
117 1 838788
117 2 913492
117 3 1026992
117 4 1155364
117 5 818176
117 6 912628
117 7 1050052
# 117 mean resident memory: 975018.500000, balance: 0.345827
119 0 1087564
119 1 838876
119 2 911096
119 3 1026584
119 4 1154184
119 5 814868
119 6 914900
119 7 1055436
# 119 mean resident memory: 975438.500000, balance: 0.347860
121 0 1085068
121 1 840364
121 2 916572
121 3 1030416
121 4 1156948
121 5 818896
121 6 919152
121 7 1057460
# 121 mean resident memory: 978109.500000, balance: 0.345618
123 0 1086764
123 1 841560
123 2 918960
123 3 1033480
123 4 1156840
123 5 818080
123 6 919880
123 7 1058520
# 123 mean resident memory: 979260.500000, balance: 0.345935
125 0 1105720
125 1 840428
125 2 921460
125 3 1028264
125 4 1156812
125 5 815400
125 6 925716
125 7 1049272
# 125 mean resident memory: 980384.000000, balance: 0.348243
127 0 1102096
127 1 841200
127 2 919828
127 3 1030896
127 4 1157060
127 5 815212
127 6 916456
127 7 1054004
# 127 mean resident memory: 979594.000000, balance: 0.348969
129 0 1110916
129 1 842848
129 2 925188
129 3 1035056
129 4 1170032
129 5 819328
129 6 921836
129 7 1056832
# 129 mean resident memory: 985254.500000, balance: 0.355953
131 0 1108304
131 1 844648
131 2 929488
131 3 1034476
131 4 1167536
131 5 820412
131 6 917708
131 7 1056560
# 131 mean resident memory: 984891.500000, balance: 0.352449
133 0 1098148
133 1 843620
133 2 937048
133 3 1036140
133 4 1173436
133 5 827576
133 6 941236
133 7 1059532
# 133 mean resident memory: 989592.000000, balance: 0.349498
135 0 1122572
135 1 845932
135 2 937896
135 3 1036752
135 4 1205748
135 5 829140
135 6 947072
135 7 1060188
# 135 mean resident memory: 998162.500000, balance: 0.377301
137 0 1022808
137 1 715340
137 2 831540
137 3 945924
137 4 1079780
137 5 679944
137 6 835240
137 7 941724
# 137 mean resident memory: 881537.500000, balance: 0.453567
139 0 1115932
139 1 844184
139 2 948760
139 3 1035568
139 4 1207324
139 5 819804
139 6 955256
139 7 1064140
# 139 mean resident memory: 998871.000000, balance: 0.387958
141 0 1135268
141 1 853804
141 2 962092
141 3 1035696
141 4 1209064
141 5 814568
141 6 967908
141 7 1063700
# 141 mean resident memory: 1005262.500000, balance: 0.392431
143 0 1131864
143 1 840828
143 2 966308
143 3 1038144
143 4 1196544
143 5 814348
143 6 971204
143 7 1064100
# 143 mean resident memory: 1002917.500000, balance: 0.381084
145 0 1138288
145 1 839156
145 2 967240
145 3 1040744
145 4 1196712
145 5 814444
145 6 972948
145 7 1067496
# 145 mean resident memory: 1004628.500000, balance: 0.380507
147 0 1159040
147 1 843164
147 2 963892
147 3 1040592
147 4 1201508
147 5 815584
147 6 976504
147 7 1069676
# 147 mean resident memory: 1008745.000000, balance: 0.382578
149 0 1163192
149 1 841796
149 2 969792
149 3 1040288
149 4 1197008
149 5 812608
149 6 980236
149 7 1069468
# 149 mean resident memory: 1009298.500000, balance: 0.380859
151 0 1164168
151 1 841620
151 2 971272
151 3 1042880
151 4 1204272
151 5 815308
151 6 976284
151 7 1071568
# 151 mean resident memory: 1010921.500000, balance: 0.384762
153 0 1147216
153 1 840120
153 2 976632
153 3 1048816
153 4 1213436
153 5 819268
153 6 981776
153 7 1073236
# 153 mean resident memory: 1012562.500000, balance: 0.389278
155 0 1146100
155 1 838764
155 2 974004
155 3 1051336
155 4 1211804
155 5 822432
155 6 979344
155 7 1081476
# 155 mean resident memory: 1013157.500000, balance: 0.384315
157 0 1143668
157 1 843000
157 2 976524
157 3 1056576
157 4 1198292
157 5 819660
157 6 984172
157 7 1082488
# 157 mean resident memory: 1013047.500000, balance: 0.373755
159 0 1162080
159 1 847648
159 2 973952
159 3 1058936
159 4 1206876
159 5 821500
159 6 983640
159 7 1082364
# 159 mean resident memory: 1017124.500000, balance: 0.378888
161 0 1163016
161 1 847552
161 2 983716
161 3 1059452
161 4 1188620
161 5 823988
161 6 986536
161 7 1083452
# 161 mean resident memory: 1017041.500000, balance: 0.358522
163 0 1146548
163 1 851404
163 2 984588
163 3 1062576
163 4 1209756
163 5 823988
163 6 985640
163 7 1084248
# 163 mean resident memory: 1018593.500000, balance: 0.378726
165 0 1146848
165 1 854024
165 2 985228
165 3 1062264
