# task_type, task_subtype, depth, count
sort none 2 3
sort none 3 15
sort none 4 8
self density 3 1
self force 3 1
self grav 3 8
pair density 3 12
pair density 4 10
pair density 5 6
pair density 6 62
pair density 7 45
pair force 3 12
pair force 4 10
pair force 5 6
pair force 6 62
pair force 7 45
pair grav 2 6
pair grav 3 109
sub_self density 3 5
sub_self density 4 15
sub_self density 5 8
sub_self force 3 5
sub_self force 4 15
sub_self force 5 8
sub_pair density 2 2
sub_pair density 3 24
sub_pair density 4 155
sub_pair density 5 104
sub_pair force 2 2
sub_pair force 3 24
sub_pair force 4 155
sub_pair force 5 104
init_grav none 1 1
init_grav_out none 1 1
init_grav_out none 2 2
init_grav_out none 3 2
ghost_in none 2 1
ghost_in none 3 5
ghost none 3 2
ghost none 4 5
ghost none 5 65
ghost none 6 928
ghost_out none 2 1
ghost_out none 3 5
drift_part none 2 1
drift_part none 3 5
drift_gpart none 1 1
drift_gpart_out none 1 1
drift_gpart_out none 2 2
drift_gpart_out none 3 2
end_hydro_force none 2 1
end_hydro_force none 3 5
kick1 none 1 1
kick2 none 1 1
timestep none 1 1
send tend_part 2 2
send tend_part 3 11
send tend_part 4 8
send tend_gpart 2 6
send tend_gpart 3 10
send xv 2 2
send xv 3 11
send xv 4 8
send rho 2 2
send rho 3 11
send rho 4 8
send gpart 2 6
send gpart 3 10
recv tend_part 2 2
recv tend_part 3 10
recv tend_part 4 8
recv tend_gpart 2 4
recv tend_gpart 3 16
recv xv 2 2
recv xv 3 10
recv xv 4 8
recv rho 2 2
recv rho 3 10
recv rho 4 8
recv gpart 2 4
recv gpart 3 16
grav_long_range none 1 1
grav_mm none 1 4
grav_mm none 2 15
grav_down_in none 1 1
grav_down_in none 2 2
grav_down_in none 3 2
grav_down none 1 1
grav_end_force none 1 1
